id,priority,phase,area,title,description,acceptance_criteria,test_mcp,required_skills,required_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
LT-001,P0,phase-0,env,安装依赖并记录基础阻塞,执行 flutter pub get 并确认依赖安装结果；若失败则定位并记录阻塞项供后续 issue 消化,`flutter pub get` 成功完成，或明确记录失败原因、相关文件和后续处理入口,AUTOSERVER,,,检查依赖、SDK 与插件配置是否与 pubspec 和平台文件一致,确认依赖安装结果不会破坏现有代码路径,done,done,done,committed,codex,docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; pubspec.yaml,"risk: Flutter/Android 本地环境差异；保持仅记录或最小修正; picked_reason:first not_started P0 dependency gate; evidence:flutter pub get exit 0 Got dependencies; sandbox_note:first run failed because Flutter could not access Android SDK tool lookup, escalated run succeeded; done_at:2026-06-06; skills_used:mission-csv-execute,verification-before-completion; mcp_used:shell_command; git_commit_pending:this commit records LT-001 closure; continue_now:LT-002"
LT-002,P0,phase-1,home,完善首页交互闭环,基于现有 `lib/pages/home_page.dart` 与相关 widgets 完善空态、有数据态、最近倒计时概览、列表排序与跳转体验，避免只停留在骨架状态,首页在无数据和有数据场景下均能正确展示；最近倒计时与列表排序一致；添加、编辑、设置入口跳转可用,MANUAL,,,对照 spec 检查首页是否覆盖主线使用场景,回归验证首页展示与路由跳转不破坏现有 widgets 布局,done,done,done,committed,codex,docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; lib/pages/home_page.dart; lib/widgets/countdown_overview.dart; lib/widgets/countdown_card.dart; lib/widgets/empty_state.dart,"note: `PROGRESS.md` 标成待实现，但代码已有第一页骨架，应按完善处理; picked_reason:next P0 after LT-001 closure; evidence:flutter test test/home_page_test.dart passed 2/2, flutter test passed 4/4; changed:home empty CTA, nearest label, sorted hint, empty icon, widget test; done_at:2026-06-06; skills_used:mission-csv-execute,brainstorming,test-driven-development,verification-before-completion; mcp_used:shell_command; git_commit_pending:this commit records LT-002 closure; continue_now:LT-003"
LT-003,P0,phase-1,form,完善添加倒计时页,在现有 `add_countdown_page.dart` 基础上补齐表单校验、默认值合理性、提交后反馈与必要的 UX 细节,标题为空等非法输入有明确处理；日期/重复方式/颜色/图标选择可正常保存；保存后列表状态正确刷新,AUTOSERVER,,,检查表单逻辑是否与 repository/provider 契约一致,回归验证新增倒计时不影响首页展示与存储,done,done,done,committed,codex,docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; lib/pages/add_countdown_page.dart; lib/providers/countdown_provider.dart; lib/repositories/countdown_repository.dart,"note: 优先增量完善现有页面，不重做 UI; picked_reason:next P0 after LT-002 closure; evidence:flutter test test/add_countdown_page_test.dart passed 2/2, flutter test passed 6/6; changed:title validation, save disabled while saving, save return fallback, ASCII icon picker, widget tests; done_at:2026-06-06; skills_used:mission-csv-execute,test-driven-development,verification-before-completion; mcp_used:shell_command; git_commit_pending:this commit records LT-003 closure; continue_now:LT-004"
LT-004,P0,phase-1,form,完善编辑倒计时页,在现有 `edit_countdown_page.dart` 基础上补齐对象不存在兜底、编辑态加载、更新反馈与删除确认后的回流体验,编辑已有倒计时可正确回填并保存；找不到 id 时有稳定兜底；删除后首页状态正确更新,MANUAL,,,检查编辑页是否正确处理正常路径和异常路径,回归验证更新/删除后 Provider 状态与首页列表一致,done,done,done,committed,codex,docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; lib/pages/edit_countdown_page.dart; lib/providers/countdown_provider.dart; lib/repositories/countdown_repository.dart,"note: 重点避免 firstOrNull / 空对象路径导致页面静默异常; picked_reason:next P0 after LT-003 closure; evidence:flutter test test/edit_countdown_page_test.dart passed 3/3, flutter test passed 9/9; changed:not-found fallback, update/delete return fallback, title validation, edit widget tests; done_at:2026-06-06; skills_used:mission-csv-execute,test-driven-development,verification-before-completion; mcp_used:shell_command; git_commit_pending:this commit records LT-004 closure; continue_now:LT-005"
LT-005,P1,phase-1,settings,完善复习开始日期页,基于 `review_start_page.dart` 完善设置、修改和展示逻辑，并确保与首页 overview、设置页摘要一致,设置复习开始日期后首页 reviewDays 与设置页摘要同步更新；修改日期后显示正确；无异常输入路径,MANUAL,,,检查 reviewStart 数据流是否从页面到 provider 到展示端闭环,回归验证修改复习日期不会影响倒计时主流程,done,done,done,committed,codex,docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; lib/pages/review_start_page.dart; lib/pages/settings_page.dart; lib/providers/review_start_provider.dart; lib/widgets/countdown_overview.dart,"note: 该任务承接 PROGRESS 的 Task 13 并补齐与首页/设置页联动; picked_reason:next P1 settings after P0 form closure; evidence:flutter test test/review_start_page_test.dart passed 2/2, flutter test passed 11/11; changed:review start save fallback, saving state, settings summary uses AppDateUtils, widget tests; done_at:2026-06-06; skills_used:mission-csv-execute,test-driven-development,verification-before-completion; mcp_used:shell_command; git_commit_pending:this commit records LT-005 closure; continue_now:LT-006"
LT-006,P1,phase-1,settings,完善设置页入口与清空数据链路,基于 `settings_page.dart` 校准各设置项行为与反馈，确保清空数据后的 provider 刷新和页面回显一致,设置页各入口跳转正确；About 正常展示；清空数据后首页、设置页、Widget 相关状态均回到预期空态,MANUAL,,,检查清空数据是否只影响预期数据域并刷新相关 provider,回归验证清空后新增数据流程仍可正常使用,done,done,done,committed,codex,docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; lib/pages/settings_page.dart; lib/providers/hive_provider.dart; lib/providers/countdown_provider.dart; lib/providers/review_start_provider.dart; lib/providers/widget_config_provider.dart; lib/services/hive_service.dart,"note: 该任务是 Task 14 的执行化拆分; picked_reason:next P1 settings closure after LT-005; evidence:flutter test test/settings_page_test.dart passed 2/2, flutter test passed 13/13; changed:clear-all snackbar, provider invalidation verified, about dialog test; done_at:2026-06-06; skills_used:mission-csv-execute,test-driven-development,verification-before-completion; mcp_used:shell_command; git_commit_pending:this commit records LT-006 closure; continue_now:LT-007"
LT-007,P0,phase-2,widget-ui,完善 Widget 预览页选择与同步体验,基于 `widget_preview_page.dart` 完善空态、选中态、同步按钮可用性和同步反馈，使用户能明确知道当前 Widget 绑定对象,无 countdown 时有清晰空态；有数据时可选择目标 countdown；同步按钮只在可同步时生效并给出明确反馈,MANUAL,,,检查 Widget 预览页与 widgetConfig/provider 的交互是否清晰稳定,回归验证页面选择与同步不会影响普通倒计时编辑流程,done,done,done,committed,codex,docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; lib/pages/widget_preview_page.dart; lib/widgets/widget_preview_card.dart; lib/providers/widget_config_provider.dart; lib/providers/widget_sync_provider.dart,"note: 当前页面已有初版，应围绕体验闭环完善; picked_reason:next P0 widget-ui after settings closure; evidence:flutter test test/widget_preview_page_test.dart passed 2/2, flutter test passed 15/15; changed:no-countdown empty state, disabled sync button, selected sync feedback, widget preview tests; done_at:2026-06-06; skills_used:mission-csv-execute,test-driven-development,verification-before-completion; mcp_used:shell_command; git_commit_pending:this commit records LT-007 closure; continue_now:LT-008"
LT-008,P0,phase-2,widget-sync,完善 widget_sync_service 数据契约与异常处理,基于 `widget_sync_service.dart` 校准写入字段、默认值、同步时机和异常路径，确保 Flutter 侧输出与 Android Provider 读取一致,同步服务输出字段与 Android Widget Provider 读取字段一一对应；异常不会导致崩溃；可从选中的 countdown 正确生成展示数据,AUTOSERVER,,,检查 Flutter 侧写入 key 与 Android 侧读取 key/格式完全一致,回归验证同步服务调整不破坏 reviewDays 与 countdown 同步路径,done,done,done,committed,codex,docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; lib/services/widget_sync_service.dart; lib/providers/widget_sync_provider.dart; android/app/src/main/kotlin/com/example/due/DueWidgetProvider.kt,"note: 该任务承接 PROGRESS 的 Task 16，并作为原生联调前置; picked_reason:next P0 widget-sync after LT-007; evidence:flutter test test/widget_sync_service_test.dart passed 1/1, flutter test passed 16/16; changed:WidgetSyncService key constants, buildCountdownData payload, Android default icon/layout ASCII; done_at:2026-06-06; skills_used:mission-csv-execute,test-driven-development,verification-before-completion; mcp_used:shell_command; git_commit_pending:this commit records LT-008 closure; continue_now:LT-009"
LT-009,P0,phase-2,android-widget,补齐 Android Widget 最小可用链路,检查并修正 `DueWidgetProvider.kt`、Manifest、widget layout、widget info 与必要资源，使 Android Widget 能展示基础倒计时数据并支持点击回到应用,安装 APK 后可添加 Widget；Widget 能展示 title/targetDate/icon/daysLeft；点击 Widget 能打开应用；默认占位态合理,MANUAL,,,检查 AndroidManifest、provider 注册、layout id 和更新逻辑是否完整匹配,回归验证 Widget 更新不影响应用正常启动与路由,not_started,not_started,not_started,uncommitted,codex,"docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; android/app/src/main/AndroidManifest.xml; android/app/src/main/kotlin/com/example/due/DueWidgetProvider.kt; android/app/src/main/res/layout/due_widget.xml; android/app/src/main/res/xml/due_widget_info.xml; android/app/src/main/res/values/strings.xml","note: `PROGRESS.md` 标为待实现，但原生骨架已存在，应按联调补齐处理；test_mcp=MANUAL 需写清设备/桌面验收步骤"
LT-010,P1,phase-3,test,补齐核心测试覆盖,围绕当前 MVP 主链路补充测试，优先覆盖日期逻辑边界与关键数据流，避免只有单个 utils 测试,新增或更新测试后 `flutter test` 可通过；至少覆盖日期逻辑边界和一个以上关键状态/数据流,AUTOSERVER,,,检查测试是否真正覆盖剩余主线逻辑而非仅补形式用例,回归验证新增测试在本地稳定通过且不依赖脆弱环境,not_started,not_started,not_started,uncommitted,codex,"docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; test/app_date_utils_test.dart; lib/utils/app_date_utils.dart; lib/providers; lib/repositories","note: 可按实现难度选择 Provider/Repository/WidgetSync 的最小有效覆盖面"
LT-011,P0,phase-3,verification,跑通测试与 APK 构建并记录人工验收,执行 `flutter test` 与 `flutter build apk`，修复本阶段暴露的收尾问题，并输出剩余风险与人工验收说明,`flutter test` 通过；`flutter build apk` 成功；如 Widget 需人工验证，则在 notes/review 中写清完整操作步骤,AUTOSERVER,,,检查所有前置 issue 的验收项已实际覆盖到命令验证或人工步骤,回归验证构建与测试收口后没有遗留阻塞主路径的问题,not_started,not_started,not_started,uncommitted,codex,"docs/superpowers/specs/due-mvp-progress-alignment.md; docs/PROGRESS.md; pubspec.yaml; android/; test/","note: 该任务承接 PROGRESS 的 Task 18，是最终收口与交付验证任务"}
